review_id,product_name,product_group,gender,age_group,rating,review_text,created_at
r-000019,소프트 바디로션,바디케어,여성,25-29세,3,흡수가 빠른 편이에요. 사용해보니 향이 취향이 아니에요. 외출 전에 쓰니. 선물용으로도 괜찮아 보여요. 호불호 갈릴 듯.,2025-05-19 15:40:51
r-000020,시어버터 크림,바디케어,여성,10대,2,보습이 금방 날아가요. 전체적으로 끈적거려서 불편해요. 기대 이하였다.,2025-10-10 14:41:45
r-000021,시어버터 크림,바디케어,남성,25-29세,5,운동 후에 사용해봤는데 향이 포근하게 남아요. 확실히 흡수가 빠른 편이에요. 또 살 것 같아요.,2025-08-30 16:33:21
r-000022,새틴 블러셔,메이크업,남성,25-29세,4,아침·저녁으로 써봤고 가볍게 발려요. 게다가 톤 보정이 깔끔해요. 가격 생각하면 괜찮아요. 환경에 따라 다를 수 있어요.,2025-09-08 22:45:17
r-000023,단백질 헤어팩,헤어케어,남성,25-29세,3,향이 은은해서 좋아요. 확실히 거품이 잘 안 나요. 딱 중간 정도 느낌.,2025-04-09 05:37:54
r-000024,두피 스케일러,헤어케어,여성,30대,5,샤워 후에 바로 바르고 드라이가 잘 돼요. 막상 써보니 향이 은은해서 좋아요. 가격 생각하면 괜찮아요.,2025-09-01 09:30:08
r-000025,핸드크림 클래식,바디케어,남성,20-24세,5,운동 후에 사용해봤는데 보습이 오래가요. 한동안 써보니 향이 포근하게 남아요. 또 살 것 같아요.,2025-06-27 02:01:43
r-000026,샤워 오일,바디케어,여성,30대,3,향이 포근하게 남아요. 그리고 펌프가 뻑뻑해요. 호불호 갈릴 듯.,2025-08-22 10:41:40
r-000027,아쿠아 수분크림,스킨케어,여성,20-24세,1,향이 생각보다 강해요. 사용해보니 트러블이 조금 올라왔어요. 제 피부 기준입니다. 아쉬웠어요.,2025-05-22 09:17:47
r-000028,크리미 컨실러,메이크업,여성,20-24세,4,아침·저녁으로 써봤고 밀착이 잘 돼요. 전체적으로 톤 보정이 깔끔해요. 추천해요.,2025-10-13 16:05:04
r-000029,세라마이드 로션,스킨케어,여성,30대,5,운동 후에 사용해봤는데 결이 정돈되는 느낌이에요. 그리고 메이크업 전에 쓰기 좋아요. 가격 생각하면 괜찮아요.,2025-06-27 20:52:16
r-000030,리페어 세럼,헤어케어,여성,40대,5,운동 후에 사용해봤는데 두피가 편안해졌어요. 한동안 써보니 향이 은은해서 좋아요. 계속 쓰게 돼요. 선물용으로도 괜찮아 보여요.,2025-04-10 03:38:36
r-000031,벨벳 립스틱,메이크업,남성,30대,3,가볍게 발려요. 사용해보니 건조해서 각질이 부각돼요. 딱 중간 정도 느낌.,2025-08-11 20:18:28
r-000032,프로바이오틱스 크림,스킨케어,여성,30대,5,운동 후에 사용해봤는데 결이 정돈되는 느낌이에요. 한동안 써보니 메이크업 전에 쓰기 좋아요. 잘 쓰고 있어요.,2025-06-02 06:50:21
r-000033,바디 스크럽,바디케어,남성,40대,3,향이 포근하게 남아요. 한동안 써보니 용량이 아쉬워요. 무난한 편이에요.,2025-09-09 04:14:41
r-000034,소프트 바디로션,바디케어,남성,50대 이상,4,운동 후에 사용해봤는데 보습이 오래가요. 막상 써보니 펌프가 편해요. 가격 생각하면 괜찮아요. 개인차는 있을 듯.,2025-05-17 16:22:46
r-000035,콜라겐 앰플,스킨케어,여성,30대,5,샤워 후에 바로 바르고 결이 정돈되는 느낌이에요. 게다가 보습이 오래가요. 또 살 것 같아요.,2025-09-07 01:56:54
r-000036,쿠션 파운데이션,메이크업,남성,20-24세,4,아침·저녁으로 써봤고 밀착이 잘 돼요. 막상 써보니 지속력이 좋아요. 추천해요. 메이크업 전에 괜찮았어요.,2025-09-12 21:55:17
r-000037,벨벳 립스틱,메이크업,남성,20-24세,4,아침·저녁으로 써봤고 발색이 자연스러워요. 게다가 가볍게 발려요. 또 살 것 같아요. 여행 때 들고 가기 좋을 듯.,2025-05-07 01:13:29
r-000038,샤워 오일,바디케어,남성,40대,4,아침·저녁으로 써봤고 보습이 오래가요. 전체적으로 향이 포근하게 남아요. 또 살 것 같아요. 취향 차이는 있을 수 있어요. 여행 때 들고 가기 좋을 듯.,2025-04-08 09:29:38
r-000039,단백질 헤어팩,헤어케어,여성,30대,4,출근 전에 주로 쓰고 거품이 풍성하고 헹굼이 깔끔해요. 그리고 모발이 차분해요. 또 살 것 같아요. 건성/지성에 따라 느낌 다를 듯. 메이크업 전에 괜찮았어요.,2025-04-13 17:05:33
r-000040,딥케어 트리트먼트,헤어케어,여성,50대 이상,2,향이 강해서 부담돼요. 확실히 거품이 잘 안 나요. 취향 차이는 있을 수 있어요. 재구매는 어려울 듯.,2025-05-09 03:56:45
r-000041,볼륨 미스트,헤어케어,여성,30대,4,외출 전에 쓰니 향이 은은해서 좋아요. 확실히 거품이 풍성하고 헹굼이 깔끔해요. 또 살 것 같아요. 데일리로 무난해요.,2025-06-03 18:29:54
r-000042,리페어 세럼,헤어케어,미지정,20-24세,4,아침·저녁으로 써봤고 향이 은은해서 좋아요. 전체적으로 드라이가 잘 돼요. 추천해요. 제 피부 기준입니다.,2025-09-03 06:07:26
r-000043,롱웨어 파운데이션,메이크업,여성,25-29세,4,샤워 후에 바로 바르고 지속력이 좋아요. 사용해보니 가볍게 발려요. 계속 쓰게 돼요. 선물용으로도 괜찮아 보여요.,2025-07-31 15:49:29
r-000044,리페어 에센스,스킨케어,남성,30대,5,출근 전에 주로 쓰고 흡수가 부드럽게 돼요. 전반적으로 결이 정돈되는 느낌이에요. 추천해요.,2025-08-02 06:38:55
r-000045,비타민C 세럼,스킨케어,남성,20-24세,4,출근 전에 주로 쓰고 결이 정돈되는 느낌이에요. 한동안 써보니 자극이 거의 없어요. 가격 생각하면 괜찮아요.,2025-08-18 16:41:15
r-000046,틴트 마스카라,메이크업,남성,30대,5,아침·저녁으로 써봤고 지속력이 좋아요. 게다가 톤 보정이 깔끔해요. 만족스러워요.,2025-10-17 11:35:02
r-000047,비타민C 세럼,스킨케어,미지정,10대,4,출근 전에 주로 쓰고 흡수가 부드럽게 돼요. 전체적으로 보습이 오래가요. 잘 쓰고 있어요. 데일리로 무난해요.,2025-05-04 23:37:51
r-000048,헤어 오일,헤어케어,여성,10대,5,아침·저녁으로 써봤고 모발이 차분해요. 전반적으로 드라이가 잘 돼요. 또 살 것 같아요. 메이크업 전에 괜찮았어요.,2025-05-17 02:49:32
r-000049,가든 로즈 퍼퓸,향수,여성,50대 이상,2,달달함이 과해요. 한동안 써보니 머리가 아픈 류의 향이에요. 재구매는 어려울 듯.,2025-07-26 22:11:14
r-000050,소프트 바디로션,바디케어,남성,25-29세,5,아침·저녁으로 써봤고 보습이 오래가요. 전반적으로 펌프가 편해요. 또 살 것 같아요.,2025-09-08 13:28:00
r-000051,틴트 마스카라,메이크업,여성,30대,4,외출 전에 쓰니 밀착이 잘 돼요. 게다가 가볍게 발려요. 잘 쓰고 있어요. 선물용으로도 괜찮아 보여요.,2025-04-22 19:50:06
r-000052,리페어 세럼,헤어케어,여성,20-24세,4,샤워 후에 바로 바르고 향이 은은해서 좋아요. 전체적으로 두피가 편안해졌어요. 잘 쓰고 있어요. 개인차는 있을 듯.,2025-09-06 00:45:12
r-000053,헤어 오일,헤어케어,남성,30대,3,거품이 풍성하고 헹굼이 깔끔해요. 사용해보니 모발이 뻣뻣해졌어요. 주말 외출용으로 딱. 상황 봐서 쓸 것 같아요.,2025-04-27 22:41:44
r-000054,두피 스케일러,헤어케어,여성,25-29세,2,모발이 뻣뻣해졌어요. 전체적으로 거품이 잘 안 나요. 제 피부 기준입니다. 재구매는 어려울 듯.,2025-05-23 23:07:33
r-000055,롱웨어 파운데이션,메이크업,여성,40대,4,출근 전에 주로 쓰고 발색이 자연스러워요. 그리고 가볍게 발려요. 또 살 것 같아요.,2025-05-17 15:04:31
r-000056,아쿠아 수분크림,스킨케어,여성,40대,3,흡수가 부드럽게 돼요. 게다가 따갑게 느껴졌어요. 출근 전에 주로 쓰고. 상황 봐서 쓸 것 같아요.,2025-08-08 10:07:03
r-000057,새틴 블러셔,메이크업,남성,30대,4,아침·저녁으로 써봤고 밀착이 잘 돼요. 전반적으로 지속력이 좋아요. 추천해요. 주말 외출용으로 딱.,2025-05-13 08:10:24
r-000058,핸드크림 클래식,바디케어,남성,40대,4,샤워 후에 바로 바르고 흡수가 빠른 편이에요. 한동안 써보니 펌프가 편해요. 만족스러워요.,2025-04-14 07:27:58
r-000059,아쿠아 마린 EDT,향수,여성,40대,5,운동 후에 사용해봤는데 과하지 않아서 데일리로 좋아요. 게다가 첫 향이 상큼해요. 잘 쓰고 있어요. 취향 차이는 있을 수 있어요.,2025-08-27 23:02:36
r-000060,코튼 바디워시,바디케어,여성,20-24세,3,향이 포근하게 남아요. 게다가 끈적거려서 불편해요. 선물용으로도 괜찮아 보여요. 딱 중간 정도 느낌.,2025-09-23 01:00:05
r-000061,두피 스케일러,헤어케어,남성,30대,3,드라이가 잘 돼요. 그리고 유분감이 쉽게 올라와요. 외출 전에 쓰니. 딱 중간 정도 느낌.,2025-10-17 14:39:36
r-000062,시어버터 크림,바디케어,여성,20-24세,5,출근 전에 주로 쓰고 보습이 오래가요. 전반적으로 향이 포근하게 남아요. 추천해요. 환경에 따라 다를 수 있어요. 선물용으로도 괜찮아 보여요.,2025-07-23 15:05:27
r-000063,콜라겐 앰플,스킨케어,여성,20-24세,3,보습이 오래가요. 전체적으로 유분감이 남아요. 호불호 갈릴 듯.,2025-07-12 19:44:24
r-000064,쿠션 파운데이션,메이크업,남성,30대,4,샤워 후에 바로 바르고 발색이 자연스러워요. 사용해보니 밀착이 잘 돼요. 또 살 것 같아요. 개인차는 있을 듯. 선물용으로도 괜찮아 보여요.,2025-07-19 04:18:49
r-000065,소프트 바디로션,바디케어,여성,30대,3,흡수가 빠른 편이에요. 전체적으로 향이 취향이 아니에요. 아침·저녁으로 써봤고. 무난한 편이에요.,2025-08-28 08:47:00
r-000066,히알루론 나이트크림,스킨케어,남성,25-29세,5,외출 전에 쓰니 보습이 오래가요. 막상 써보니 메이크업 전에 쓰기 좋아요. 잘 쓰고 있어요.,2025-05-17 14:51:38
r-000067,헤어 오일,헤어케어,여성,30대,5,샤워 후에 바로 바르고 거품이 풍성하고 헹굼이 깔끔해요. 막상 써보니 드라이가 잘 돼요. 만족스러워요. 환경에 따라 다를 수 있어요. 데일리로 무난해요.,2025-06-27 06:47:50
r-000068,샤워 오일,바디케어,여성,40대,4,외출 전에 쓰니 보습이 오래가요. 게다가 펌프가 편해요. 또 살 것 같아요. 제 피부 기준입니다. 주말 외출용으로 딱.,2025-05-05 02:06:58
r-000069,리페어 에센스,스킨케어,여성,20-24세,5,운동 후에 사용해봤는데 보습이 오래가요. 한동안 써보니 자극이 거의 없어요. 잘 쓰고 있어요. 건성/지성에 따라 느낌 다를 듯.,2025-07-29 02:00:06
r-000070,내추럴 아이팔레트,메이크업,여성,25-29세,2,색상이 화면이랑 달라요. 막상 써보니 얼룩처럼 묻어나요. 아쉬웠어요.,2025-06-10 16:31:07
r-000071,우디 머스크 퍼퓸,향수,여성,30대,4,운동 후에 사용해봤는데 잔향이 은은하게 오래 남아요. 게다가 계절감이 잘 맞아요. 잘 쓰고 있어요.,2025-05-26 00:15:31
r-000072,히알루론 나이트크림,스킨케어,여성,20-24세,5,출근 전에 주로 쓰고 보습이 오래가요. 한동안 써보니 자극이 거의 없어요. 가격 생각하면 괜찮아요. 제 피부 기준입니다.,2025-04-29 21:49:06
r-000073,크리미 컨실러,메이크업,남성,20-24세,5,샤워 후에 바로 바르고 톤 보정이 깔끔해요. 확실히 밀착이 잘 돼요. 계속 쓰게 돼요. 데일리로 무난해요.,2025-05-19 19:35:27
r-000074,틴트 마스카라,메이크업,여성,40대,3,톤 보정이 깔끔해요. 게다가 시간 지나면 무너져요. 무난한 편이에요.,2025-10-10 13:53:40
r-000075,아쿠아 수분크림,스킨케어,여성,25-29세,3,결이 정돈되는 느낌이에요. 그리고 흡수가 느려서 답답해요. 아침·저녁으로 써봤고. 메이크업 전에 괜찮았어요. 기대만큼은 아니지만 쓸만해요.,2025-10-07 17:06:05
r-000076,틴트 마스카라,메이크업,남성,20-24세,5,샤워 후에 바로 바르고 톤 보정이 깔끔해요. 사용해보니 발색이 자연스러워요. 계속 쓰게 돼요. 환경에 따라 다를 수 있어요.,2025-08-03 07:41:49
r-000077,새틴 블러셔,메이크업,여성,10대,1,두껍게 올라와요. 확실히 색상이 화면이랑 달라요. 저랑은 안 맞아요.,2025-08-07 23:40:44
r-000078,시카 진정 토너,스킨케어,남성,50대 이상,3,보습이 오래가요. 막상 써보니 향이 생각보다 강해요. 선물용으로도 괜찮아 보여요. 호불호 갈릴 듯.,2025-09-08 01:35:42
r-000079,시트러스 오 드 뚜왈렛,향수,남성,20-24세,5,외출 전에 쓰니 잔향이 은은하게 오래 남아요. 게다가 무난하게 쓰기 좋아요. 계속 쓰게 돼요. 개인차는 있을 듯.,2025-06-03 17:02:13
r-000080,시카 진정 토너,스킨케어,남성,40대,3,보습이 오래가요. 확실히 향이 생각보다 강해요. 호불호 갈릴 듯.,2025-06-10 11:43:50
r-000081,새틴 블러셔,메이크업,여성,20-24세,5,샤워 후에 바로 바르고 톤 보정이 깔끔해요. 사용해보니 발색이 자연스러워요. 가격 생각하면 괜찮아요.,2025-08-07 19:07:30
r-000082,콜라겐 앰플,스킨케어,남성,30대,4,출근 전에 주로 쓰고 흡수가 부드럽게 돼요. 전체적으로 결이 정돈되는 느낌이에요. 만족스러워요.,2025-08-18 16:47:18
r-000083,샤워 오일,바디케어,남성,40대,1,보습이 금방 날아가요. 전체적으로 끈적거려서 불편해요. 아쉬웠어요.,2025-07-14 02:31:44
r-000084,오리엔탈 오 드 퍼퓸,향수,남성,30대,4,아침·저녁으로 써봤고 과하지 않아서 데일리로 좋아요. 게다가 첫 향이 상큼해요. 만족스러워요. 메이크업 전에 괜찮았어요.,2025-10-15 06:26:04
r-000085,벨벳 립스틱,메이크업,여성,30대,1,시간 지나면 무너져요. 게다가 얼룩처럼 묻어나요. 별로였어요.,2025-04-30 17:13:51
r-000086,헤어 오일,헤어케어,여성,25-29세,4,외출 전에 쓰니 향이 은은해서 좋아요. 게다가 모발이 차분해요. 만족스러워요. 개인차는 있을 듯.,2025-10-19 18:53:21
r-000087,아쿠아 수분크림,스킨케어,남성,20-24세,2,트러블이 조금 올라왔어요. 전체적으로 유분감이 남아요. 개인차는 있을 듯. 재구매는 어려울 듯.,2025-09-24 22:36:55
r-000088,크리미 컨실러,메이크업,여성,30대,2,두껍게 올라와요. 전반적으로 얼룩처럼 묻어나요. 제 피부 기준입니다. 기대 이하였다.,2025-07-05 18:47:22
r-000089,프로바이오틱스 크림,스킨케어,남성,25-29세,5,샤워 후에 바로 바르고 자극이 거의 없어요. 그리고 메이크업 전에 쓰기 좋아요. 추천해요. 데일리로 무난해요.,2025-10-04 03:32:35
r-000090,가든 로즈 퍼퓸,향수,남성,20-24세,5,외출 전에 쓰니 계절감이 잘 맞아요. 확실히 무난하게 쓰기 좋아요. 가격 생각하면 괜찮아요.,2025-05-26 10:39:46
r-000091,소프트 바디로션,바디케어,여성,30대,2,용량이 아쉬워요. 사용해보니 펌프가 뻑뻑해요. 재구매는 어려울 듯.,2025-08-12 20:58:06
r-000092,아쿠아 수분크림,스킨케어,남성,10대,3,흡수가 부드럽게 돼요. 그리고 따갑게 느껴졌어요. 샤워 후에 바로 바르고. 딱 중간 정도 느낌.,2025-07-15 07:04:34
r-000093,크리미 컨실러,메이크업,남성,20-24세,5,운동 후에 사용해봤는데 발색이 자연스러워요. 사용해보니 톤 보정이 깔끔해요. 잘 쓰고 있어요. 주말 외출용으로 딱.,2025-06-02 03:54:14
r-000094,딥케어 트리트먼트,헤어케어,여성,20-24세,3,드라이가 잘 돼요. 전반적으로 향이 강해서 부담돼요. 샤워 후에 바로 바르고. 여행 때 들고 가기 좋을 듯. 무난한 편이에요.,2025-08-28 18:30:47
r-000095,시트러스 오 드 뚜왈렛,향수,남성,30대,5,아침·저녁으로 써봤고 첫 향이 상큼해요. 전반적으로 계절감이 잘 맞아요. 또 살 것 같아요.,2025-09-13 13:13:14
r-000096,소프트 바디로션,바디케어,여성,30대,5,출근 전에 주로 쓰고 보습이 오래가요. 한동안 써보니 끈적임이 없어서 여름에도 좋아요. 추천해요.,2025-09-23 11:20:21
r-000097,소프트 바디로션,바디케어,여성,20-24세,3,향이 포근하게 남아요. 전체적으로 보습이 금방 날아가요. 샤워 후에 바로 바르고. 딱 중간 정도 느낌.,2025-09-13 03:13:44
r-000098,쿨링 샴푸,헤어케어,여성,40대,5,외출 전에 쓰니 모발이 차분해요. 게다가 거품이 풍성하고 헹굼이 깔끔해요. 추천해요.,2025-10-08 01:39:14
r-000099,롱웨어 파운데이션,메이크업,남성,10대,4,아침·저녁으로 써봤고 발색이 자연스러워요. 전반적으로 지속력이 좋아요. 계속 쓰게 돼요.,2025-05-02 14:05:57
r-000100,아쿠아 마린 EDT,향수,남성,20-24세,2,호불호가 갈릴 듯해요. 확실히 머리가 아픈 류의 향이에요. 비추천합니다.,2025-05-06 07:38:00
r-000101,리페어 세럼,헤어케어,남성,25-29세,4,운동 후에 사용해봤는데 거품이 풍성하고 헹굼이 깔끔해요. 사용해보니 드라이가 잘 돼요. 잘 쓰고 있어요. 데일리로 무난해요.,2025-06-23 16:32:51
r-000102,쿨링 샴푸,헤어케어,여성,40대,5,아침·저녁으로 써봤고 거품이 풍성하고 헹굼이 깔끔해요. 확실히 드라이가 잘 돼요. 잘 쓰고 있어요. 건성/지성에 따라 느낌 다를 듯. 선물용으로도 괜찮아 보여요.,2025-04-16 01:48:22
r-000103,쿠션 파운데이션,메이크업,남성,30대,3,가볍게 발려요. 한동안 써보니 두껍게 올라와요. 주말 외출용으로 딱. 딱 중간 정도 느낌.,2025-06-16 05:11:41
r-000104,풋크림 컴포트,바디케어,미지정,25-29세,3,끈적임이 없어서 여름에도 좋아요. 확실히 용량이 아쉬워요. 샤워 후에 바로 바르고. 호불호 갈릴 듯.,2025-08-11 10:57:25
r-000105,시카 진정 토너,스킨케어,남성,30대,5,운동 후에 사용해봤는데 메이크업 전에 쓰기 좋아요. 막상 써보니 보습이 오래가요. 추천해요. 메이크업 전에 괜찮았어요.,2025-08-19 03:58:11
r-000106,리페어 세럼,헤어케어,여성,50대 이상,4,아침·저녁으로 써봤고 모발이 차분해요. 막상 써보니 두피가 편안해졌어요. 추천해요.,2025-09-24 10:12:46
r-000107,내추럴 아이팔레트,메이크업,여성,40대,4,운동 후에 사용해봤는데 가볍게 발려요. 전체적으로 발색이 자연스러워요. 잘 쓰고 있어요. 환경에 따라 다를 수 있어요. 메이크업 전에 괜찮았어요.,2025-09-09 20:04:08
r-000108,리페어 에센스,스킨케어,여성,30대,3,자극이 거의 없어요. 막상 써보니 유분감이 남아요. 딱 중간 정도 느낌.,2025-09-04 12:07:57
r-000109,비타민C 세럼,스킨케어,여성,25-29세,5,운동 후에 사용해봤는데 결이 정돈되는 느낌이에요. 게다가 자극이 거의 없어요. 추천해요. 제 피부 기준입니다. 메이크업 전에 괜찮았어요.,2025-05-15 17:42:53
r-000110,풋크림 컴포트,바디케어,여성,50대 이상,4,아침·저녁으로 써봤고 펌프가 편해요. 전체적으로 흡수가 빠른 편이에요. 만족스러워요. 취향 차이는 있을 수 있어요.,2025-06-23 18:17:26
r-000111,쿠션 파운데이션,메이크업,남성,40대,4,샤워 후에 바로 바르고 톤 보정이 깔끔해요. 한동안 써보니 발색이 자연스러워요. 계속 쓰게 돼요. 환경에 따라 다를 수 있어요. 선물용으로도 괜찮아 보여요.,2025-10-07 18:42:49
r-000112,틴트 마스카라,메이크업,남성,30대,3,지속력이 좋아요. 한동안 써보니 색상이 화면이랑 달라요. 호불호 갈릴 듯.,2025-07-19 01:23:01
r-000113,바디 스크럽,바디케어,여성,25-29세,4,운동 후에 사용해봤는데 보습이 오래가요. 막상 써보니 향이 포근하게 남아요. 계속 쓰게 돼요. 선물용으로도 괜찮아 보여요.,2025-07-11 02:08:26
r-000114,시카 진정 토너,스킨케어,남성,20-24세,1,흡수가 느려서 답답해요. 확실히 따갑게 느껴졌어요. 개인차는 있을 듯. 아쉬웠어요.,2025-08-06 12:32:13
r-000115,콜라겐 앰플,스킨케어,여성,25-29세,3,결이 정돈되는 느낌이에요. 전반적으로 따갑게 느껴졌어요. 출근 전에 주로 쓰고. 여행 때 들고 가기 좋을 듯. 딱 중간 정도 느낌.,2025-05-06 13:59:11
r-000116,틴트 마스카라,메이크업,남성,25-29세,5,아침·저녁으로 써봤고 지속력이 좋아요. 게다가 가볍게 발려요. 만족스러워요. 환경에 따라 다를 수 있어요. 선물용으로도 괜찮아 보여요.,2025-05-16 17:26:47
r-000117,시어버터 크림,바디케어,여성,30대,3,펌프가 편해요. 사용해보니 보습이 금방 날아가요. 운동 후에 사용해봤는데. 호불호 갈릴 듯.,2025-08-08 02:51:27
r-000118,세라마이드 로션,스킨케어,남성,25-29세,5,아침·저녁으로 써봤고 보습이 오래가요. 한동안 써보니 메이크업 전에 쓰기 좋아요. 계속 쓰게 돼요. 데일리로 무난해요.,2025-05-20 14:08:22
r-000119,벨벳 립스틱,메이크업,여성,20-24세,4,샤워 후에 바로 바르고 가볍게 발려요. 확실히 밀착이 잘 돼요. 만족스러워요. 데일리로 무난해요.,2025-07-15 21:03:44
r-000120,픽서 메이크업 베이스,메이크업,여성,30대,2,시간 지나면 무너져요. 한동안 써보니 두껍게 올라와요. 제 피부 기준입니다. 아쉬웠어요.,2025-06-09 00:52:10
r-000121,콜라겐 앰플,스킨케어,미지정,25-29세,4,외출 전에 쓰니 보습이 오래가요. 확실히 메이크업 전에 쓰기 좋아요. 계속 쓰게 돼요. 개인차는 있을 듯.,2025-08-15 21:59:30
r-000122,풋크림 컴포트,바디케어,여성,25-29세,2,끈적거려서 불편해요. 확실히 펌프가 뻑뻑해요. 개인차는 있을 듯. 아쉬웠어요.,2025-05-31 22:59:05
r-000123,롱웨어 파운데이션,메이크업,남성,30대,3,밀착이 잘 돼요. 게다가 두껍게 올라와요. 출근 전에 주로 쓰고. 딱 중간 정도 느낌.,2025-08-25 03:51:00
r-000124,플로럴 미스트,향수,남성,30대,4,운동 후에 사용해봤는데 계절감이 잘 맞아요. 전체적으로 첫 향이 상큼해요. 또 살 것 같아요. 여행 때 들고 가기 좋을 듯.,2025-04-07 17:17:29
r-000125,쿠션 파운데이션,메이크업,여성,40대,3,밀착이 잘 돼요. 게다가 색상이 화면이랑 달라요. 상황 봐서 쓸 것 같아요.,2025-05-17 00:17:32
r-000126,픽서 메이크업 베이스,메이크업,여성,30대,5,샤워 후에 바로 바르고 밀착이 잘 돼요. 전반적으로 톤 보정이 깔끔해요. 계속 쓰게 돼요.,2025-08-21 09:16:37
r-000127,리페어 세럼,헤어케어,남성,20-24세,4,출근 전에 주로 쓰고 향이 은은해서 좋아요. 한동안 써보니 거품이 풍성하고 헹굼이 깔끔해요. 잘 쓰고 있어요.,2025-05-09 16:47:40
r-000128,히알루론 나이트크림,스킨케어,남성,40대,4,출근 전에 주로 쓰고 자극이 거의 없어요. 게다가 메이크업 전에 쓰기 좋아요. 가격 생각하면 괜찮아요.,2025-04-04 17:59:45
r-000129,코튼 바디워시,바디케어,남성,40대,4,외출 전에 쓰니 보습이 오래가요. 한동안 써보니 끈적임이 없어서 여름에도 좋아요. 추천해요.,2025-04-04 03:04:35
r-000130,오리엔탈 오 드 퍼퓸,향수,여성,20-24세,5,운동 후에 사용해봤는데 첫 향이 상큼해요. 게다가 과하지 않아서 데일리로 좋아요. 또 살 것 같아요. 개인차는 있을 듯.,2025-09-17 23:49:35
